number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-723909,"Гомельское республиканское унитарное предприятие электроэнергетики ""Гомельэнерго""","Выбор подрядной организации для строительства объекта «Инженерные сети и благоустройство квартала многоэтажной жилой застройки «Северный» в г. Петриков» (I очередь) 6 п.к. (объект №27/17-К19) (сети электроснабжения КЛ-0,4кВ)",54 359,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723909,,
2019-724216,"ОАО ""Авиакомпания ""Белавиа""",струйно-абразивная камера АКН-304-М1 ФС или аналог,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724216,,
2019-724009,"УП ""УКС МИНГОРИСПОЛКОМА""",рециркулятор воздуха,9 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724009,,
2019-723604,Брестский ОПТД,"Лабораторная посуда, изделия лабораторного назначения и реагенты",874.15,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723604,,
2019-724322,"УП ""Гроднооблгаз""",модернизация фасада,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724322,,
2019-723704,Управление по образованию Барановичского горисполкома,Закупка холодильного и  технологического оборудования,52 200,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/723704,,
2019-724426,"ОАО ""Минский молочный завод № 1""",Выполнение строительно-монтажных работ на объекте: «Реконструкция корпуса №4 (участок по выработке сыра) на Воложинском производственном участке ОАО «Молодечненский молочный комбинат» 2 очередь» и сдача объекта заказчику для ввода в эксплуатацию,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/724426,,
2019-724101,"ОАО ""Витебская бройлерная птицефабрика""",Закупка УАЗ 2206 (или аналог) 2 шт.,51 840,2019-07-02,BLR,http://www.icetrade.by/tenders/all/view/724101,,
2019-723805,"Государственное предприятие ""УКС Стародорожского района""",выбор проектной организации,33 000,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/723805,,
2019-723908,ОАО ”БМРЦ“,"Закупка создания автоматизированной системы бюджетирования, управления затратами и расчета себестоимости",0,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723908,,
2019-724215,"ОАО ""Беларуськалий""",закупка Замков тепловых тросовых 57 град,5 600,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724215,,
2019-724008,"Учреждение здравоохранения ""Мозырская городская больница""",Медицинское оборудование к УЗ аппарату Aloca Alpha 6,18 000,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724008,,
2019-723603,УКС Вооруженных Сил,"Выбор проектной организации на выполнение проектно-изыскательских работ по объекту ""Устройство трансформаторной подстанции с модернизацией существующих сетей на территории 1068 продовольственной базы""",22 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723603,,
